year,muni_code,muni,financial_strength_index_2016,rev_to_exp_ratio_2016,exp_public_works_thous_2016
2016,01425,Hokkaido Kamisunagawa-cho,0.12,5.50,"272,089.00"
2016,01427,Hokkaido Yuni-cho,0.21,2.60,"416,267.00"
2016,01428,Hokkaido Naganuma-cho,0.28,0.90,"1,075,027.00"
2016,01429,Hokkaido Kuriyama-cho,0.30,2.70,"1,361,877.00"
2016,01430,Hokkaido Tsukigata-cho,0.15,2.90,"301,989.00"
2016,01431,Hokkaido Urausu-cho,0.15,3.60,"329,931.00"
2016,01432,Hokkaido Shintotsukawa-cho,0.18,6.60,"733,961.00"
2016,01433,Hokkaido Moseushi-cho,0.16,2.40,"412,503.00"
2016,01434,Hokkaido Chippubetsu-cho,0.15,3.60,"866,447.00"
2016,01436,Hokkaido Uryu-cho,0.13,6.40,"234,944.00"
2016,01437,Hokkaido Hokuryu-cho,0.12,3.10,"398,400.00"
2016,01438,Hokkaido Numata-cho,0.14,4.70,"580,793.00"
2016,01452,Hokkaido Takasu-cho,0.29,3.90,"968,283.00"
2016,01453,Hokkaido Higashikagura-cho,0.38,6.50,"1,014,440.00"
2016,01454,Hokkaido Tohma-cho,0.21,4.70,"761,651.00"
2016,01455,Hokkaido Pippu-cho,0.18,8.90,"613,568.00"
2016,01456,Hokkaido Aibetsu-cho,0.16,5.80,"657,624.00"
2016,01457,Hokkaido Kamikawa-cho,0.16,8.40,"654,571.00"
2016,01458,Hokkaido Higashikawa-cho,0.27,4.50,"873,081.00"
2016,01459,Hokkaido Biei-cho,0.21,2.70,"1,772,050.00"
2016,01460,Hokkaido Kamifurano-cho,0.28,5.00,"794,276.00"
2016,01461,Hokkaido Nakafurano-cho,0.22,5.20,"828,056.00"
2016,01462,Hokkaido Minamifurano-cho,0.12,3.10,"464,882.00"
2016,01463,Hokkaido Shimukappu-mura,0.21,4.10,"359,389.00"
2016,01464,Hokkaido Wassamu-cho,0.15,3.80,"701,268.00"
2016,01465,Hokkaido Kembuchi-cho,0.15,4.80,"552,708.00"
2016,01468,Hokkaido Shimokawa-cho,0.14,3.90,"1,108,350.00"
2016,01469,Hokkaido Bifuka-cho,0.15,10.80,"652,936.00"
2016,01470,Hokkaido Otoineppu-mura,0.10,4.50,"188,478.00"
2016,01471,Hokkaido Nakagawa-cho,0.11,6.20,"585,954.00"
2016,01472,Hokkaido Horokanai-cho,0.10,3.20,"417,191.00"
2016,01481,Hokkaido Mashike-cho,0.14,5.70,"447,934.00"
2016,01482,Hokkaido Obira-cho,0.12,6.50,"478,299.00"
2016,01483,Hokkaido Tomamae-cho,0.14,3.60,"808,489.00"
2016,01484,Hokkaido Haboro-cho,0.19,5.10,"912,490.00"
2016,01485,Hokkaido Shosambetsu-mura,0.10,1.40,"195,091.00"
2016,01486,Hokkaido Embetsu-cho,0.12,2.60,"640,101.00"
2016,01487,Hokkaido Teshio-cho,0.14,2.50,"549,126.00"
2016,01511,Hokkaido Sarufutsu-mura,0.19,2.60,"643,076.00"
2016,01512,Hokkaido Hamatombetsu-cho,0.17,7.50,"658,065.00"
2016,01513,Hokkaido Nakatombetsu-cho,0.09,6.40,"322,501.00"
2016,01514,Hokkaido Esashi-cho,0.18,0.90,"1,368,331.00"
2016,01516,Hokkaido Toyotomi-cho,0.16,20.80,"679,578.00"
2016,01517,Hokkaido Rebun-cho,0.13,3.00,"572,641.00"
2016,01518,Hokkaido Rishiri-cho,0.11,4.20,"411,776.00"
2016,01519,Hokkaido Rishirifuji-cho,0.11,1.20,"1,042,185.00"
2016,01520,Hokkaido Horonobe-cho,0.20,4.60,"671,160.00"
2016,01543,Hokkaido Bihoro-cho,0.35,0.80,"1,174,207.00"
2016,01544,Hokkaido Tsubetsu-cho,0.19,3.80,"1,135,016.00"
2016,01545,Hokkaido Shari-cho,0.35,3.00,"1,215,767.00"
2016,01546,Hokkaido Kiyosato-cho,0.17,7.80,"398,669.00"
2016,01547,Hokkaido Koshimizu-cho,0.20,8.10,"468,918.00"
2016,01549,Hokkaido Kunneppu-cho,0.21,8.50,"364,160.00"
2016,01550,Hokkaido Oketo-cho,0.13,4.70,"540,737.00"
2016,01552,Hokkaido Saroma-cho,0.23,5.50,"400,258.00"
2016,01555,Hokkaido Engaru-cho,0.26,4.70,"2,742,699.00"
2016,01559,Hokkaido Yubetsu-cho,0.25,7.30,"1,217,418.00"
2016,01560,Hokkaido Takinoue-cho,0.11,9.10,"711,841.00"
2016,01561,Hokkaido Okoppe-cho,0.20,6.40,"630,342.00"
2016,01562,Hokkaido Nishiokoppe-mura,0.09,3.00,"394,290.00"
2016,01563,Hokkaido Omu-cho,0.17,6.80,"849,321.00"
2016,01564,Hokkaido Ozora-cho,0.24,2.30,"1,153,940.00"
2016,01571,Hokkaido Toyoura-cho,0.16,1.30,"780,604.00"
2016,01575,Hokkaido Sobetsu-cho,0.17,4.60,"356,351.00"
2016,01578,Hokkaido Shiraoi-cho,0.36,8.50,"1,250,597.00"
2016,01581,Hokkaido Atsuma-cho,0.47,5.50,"763,131.00"
2016,01584,Hokkaido Toyako-cho,0.28,5.20,"871,103.00"
2016,01585,Hokkaido Abira-cho,0.42,2.40,"741,534.00"
2016,01586,Hokkaido Mukawa-cho,0.20,2.70,"732,017.00"
2016,01601,Hokkaido Hidaka-cho,0.25,3.70,"1,458,731.00"
2016,01602,Hokkaido Biratori-cho,0.17,2.00,"524,282.00"
2016,01604,Hokkaido Niikappu-cho,0.19,3.10,"456,535.00"
2016,01607,Hokkaido Urakawa-cho,0.29,4.10,"1,227,999.00"
2016,01608,Hokkaido Samani-cho,0.17,0.00,"696,313.00"
2016,01609,Hokkaido Erimo-cho,0.16,1.50,"518,806.00"
2016,01610,Hokkaido Shinhidaka-cho,0.32,1.10,"1,974,624.00"
2016,01631,Hokkaido Otofuke-cho,0.48,3.70,"1,893,862.00"
2016,01632,Hokkaido Shihoro-cho,0.26,5.50,"605,872.00"
2016,01633,Hokkaido Kamishihoro-cho,0.21,11.80,"657,431.00"
2016,01634,Hokkaido Shikaoi-cho,0.24,9.30,"405,821.00"
2016,01635,Hokkaido Shintoku-cho,0.23,3.80,"664,847.00"
2016,01636,Hokkaido Shimizu-cho,0.30,3.30,"668,586.00"
2016,01637,Hokkaido Memuro-cho,0.43,2.40,"1,178,318.00"
2016,01638,Hokkaido Nakasatsunai-mura,0.26,5.10,"734,072.00"
2016,01639,Hokkaido Sarabetsu-mura,0.23,5.50,"714,563.00"
2016,01641,Hokkaido Taiki-cho,0.22,4.60,"834,904.00"
2016,01642,Hokkaido Hiroo-cho,0.21,4.40,"1,344,874.00"
2016,01643,Hokkaido Makubetsu-cho,0.34,3.30,"1,945,356.00"
2016,01644,Hokkaido Ikeda-cho,0.22,6.60,"715,541.00"
2016,01645,Hokkaido Toyokoro-cho,0.19,2.80,"907,697.00"
2016,01646,Hokkaido Hombetsu-cho,0.25,2.40,"1,031,598.00"
2016,01647,Hokkaido Ashoro-cho,0.19,3.90,"1,370,562.00"
2016,01648,Hokkaido Rikubetsu-cho,0.14,2.00,"571,299.00"
2016,01649,Hokkaido Urahoro-cho,0.17,5.20,"857,882.00"
2016,01661,Hokkaido Kushiro-cho,0.48,2.50,"1,139,593.00"
2016,01662,Hokkaido Akkeshi-cho,0.22,8.50,"1,597,791.00"
2016,01663,Hokkaido Hamanaka-cho,0.19,2.20,"548,972.00"
2016,01664,Hokkaido Shibecha-cho,0.20,1.50,"1,371,160.00"
2016,01665,Hokkaido Teshikaga-cho,0.21,2.10,"1,287,808.00"
2016,01667,Hokkaido Tsurui-mura,0.16,2.20,"494,536.00"
2016,01668,Hokkaido Shiranuka-cho,0.25,3.40,"1,223,596.00"
2016,01691,Hokkaido Betsukai-cho,0.27,0.70,"1,854,322.00"
2016,01692,Hokkaido Nakashibetsu-cho,0.39,3.40,"3,501,417.00"
2016,01693,Hokkaido Shibetsu-cho,0.21,5.80,"941,420.00"
2016,01694,Hokkaido Rausu-cho,0.26,8.50,"175,320.00"
2016,02201,Aomori-ken Aomori-shi,0.55,3.30,"10,458,438.00"
